a,'eɪ
hole,'həʊl
home,'həʊm
holiday,'hɒlədeɪ
hope,həʊp
horse,'hɔ:s
hospital,'hɒspɪtəl
hot,'hɒt
hotel,həʊ'tel
how,'haʊ
house,'haʊs
hungry,'hʌŋgrɪ
hundred,'hʌndrəd
hour,'aʊə
hurry,'hʌrɪ
hurt,'hɜ:t
husband,'hʌzbənd
I,'aɪ
ice,'aɪs
idea,aɪ'dɪə
if,'ɪf
important,ɪm'pɔ:tənt
in,'ɪn
increase,'ɪŋkri:s
inside,ˌɪn'saɪd
into,'ɪntu:
introduce,ˌɪntrə'dju:s
iron,'aɪən
invite,ɪn'vaɪt
is,'ɪz
island,'aɪlənd
it,'ɪt
job,'dʒəʊb
jelly,'dʒelɪ
its,'ɪts
jump,'dʒʌmp
join,'dʒɔɪn
juice,'dʒu:s
kind,'kaɪnd
king,'kɪŋ
kill,'kɪl
just,'dʒʌst
keep,'ki:p
key,'ki:
knock,'nɒk
kitchen,'kɪtʃɪn
knife,'naɪf
knee,'ni:
know,'nəʊ
ladder,'lædə
lamp,'læmp
lady,'leɪdɪ
land,'lænd
large,'lɑ:dʒ
last,'lɑ:st
late,'leɪt
laugh,'lɑ:f
lately,'leɪtlɪ
lazy,'leɪzɪ
lead,'led
leaf,'li:f
learn,'lɜ:n
leave,'li:v
leg,'leg
left,'left
length,'leŋθ
lend,'lend
less,'les
lesson,'lesən
letter,'letə
let,'let
lie,'laɪ
library,'laɪbrərɪ
life,'laɪf
light,'laɪt
like,'laɪk
lion,'laɪən
lip,'lɪp
list,'lɪst
listen,'lɪsən
little,'lɪtəl
live,'lɪv
lock,'lɒk
lonely,'ləʊnlɪ
long,'lɒŋ
look,'lʊk
lose,'lu:z
lot,'lɒt
love,'lʌv
low,'ləʊ
lower,'ləʊə
luck,'lʌk
main,'meɪn
machine,mə'ʃi:n
make,'meɪk
male,'meɪl
man,'mæn
many,'menɪ
map,'mæp
mark,'mɑ:k
market,'mɑ:kɪt
matter,'mætə
marry,'mærɪ
may,'meɪ
meal,'mi:l
me,'mi:
mean,'mi:n
measure,'meʒə
meat,'mi:t
medicine,'medsɪn
meet,'mi:t
member,'membə
mention,'menʃən
milk,'mɪlk
middle,'mɪdəl
method,'meθəd
million,'mɪlɪən
mind,'maɪnd
minute,'mɪnɪt
mix,'mɪks
mistake,mɪ'steɪk
miss,'mɪs
model,'mɒdəl
modern,'mɒdən
moment,'məʊmənt
monkey,'mʌŋkɪ
money,'mʌnɪ
month,'mʌnθ
morning,'mɔ:nɪŋ
moon,'mu:n
more,'mɔ:
most,'məʊst
mother,'mʌðə
mouth,'maʊð
mountain,'maʊntɪn
much,'mʌtʃ
move,'mu:v
music,'mju:zɪk
my,'maɪ
must,'mʌst
name,'neɪm
narrow,'nærəʊ
nation,'neɪʃən
nature,'neɪtʃə
near,'nɪə
nearly,'nɪəlɪ
neck,'nek
need,'ni:d
needle,'ni:dəl
neighbour,'neɪbə
net,'net
neither,'naɪðə
never,'nevə
new,'nju:
news,'nju:z
newspaper,'nju:sˌpeɪpə
next,'nekst
night,'naɪt
nice,naɪs
nine,'naɪn
no,'nəʊ
noble,'nəʊbəl
noise,'nɔɪz
nor,'nɔ:
none,'nʌn
north,'nɔ:θ
nose,'nəʊz
not,'nɒt
nothing,'nʌθɪŋ
notice,'nəʊtɪs
now,'naʊ
number,'nʌmbə
obey,ə'beɪ
object,'ɒbdʒɪkt
of,'ɒv
ocean,'əʊʃən
off,'ɒf
office,'ɒfɪs
offer,'ɒfə
often,'ɒfən
on,'ɒn
old,'əʊld
oil,'ɔɪl
only,'əʊnlɪ
one,'wʌn
open,'əʊpən
opposite,'ɒpəzɪt
or,'ɔ:
order,'ɔ:də
orange,'ɒrɪndʒ
other,'ʌðə
our,'aʊə
out,'aʊt
outside,ˌaʊt'saɪd
over,'əʊvə
own,'əʊn
page,'peɪdʒ
pain,'peɪn
paint,'peɪnt
pair,'peə
pan,'pæn
paper,'peɪpə
parent,'peərənt
park,'pɑ:k
part,'pɑ:t
pass,'pɑ:s
partner,'pɑ:tnə
party,'pɑ:tɪ
past,'pɑ:st
path,'pɑ:θ
pay,'peɪ
peace,'pi:s
pencil,'pensəl
pen,'pen
people,'pi:pəl
per,'pɜ:
pepper,'pepə
petrol,'petrəl
perfect,'pɜ:fɪkt
period,'pɪərɪəd
person,'pɜ:sən
photograph,'fəʊtəgrɑ:f
piano,'pjɑ:nəʊ
picture,'pɪktʃə
pick,'pɪk
piece,'pi:s
pig,'pɪg
pin,'pɪn
plane,'pleɪn
pink,'pɪŋk
place,'pleɪs
plant,'plɑ:nt
plastic,'plæstɪk
plate,'pleɪt
play,'pleɪ
please,'pli:z
pleased,'pli:zd
plenty,'plentɪ
pocket,'pɒkɪt
police,pə'li:s
polite,pə'laɪt
poison,'pɔɪzən
point,'pɔɪnt
pool,'pu:l
poor,'pɔ:
popular,'pɒpjʊlə
possible,'pɒsəbəl
potato,pə'teɪtəʊ
pour,'pɔ:
position,pə'zɪʃən
power,'paʊə
present,'prezənt
press,'pres
pretty,'prɪtɪ
prevent,prɪ'vent
price,'praɪs
prince,'prɪns
prison,'prɪzən
private,'praɪvɪt
probably,'prɒbəblɪ
prize,'praɪz
problem,'prɒbləm
promise,'prɒmɪs
produce,'prɒdju:s
proper,'prɒpə
protect,prə'tekt
provide,prə'vaɪd
public,'pʌblɪk
pull,'pʊl
pupil,'pju:pəl
push,'pʊʃ
queen,'kwi:n
put,'pʊt
question,'kwestʃən
radio,'reɪdɪəʊ
quick,'kwɪk
quiet,'kwaɪət
quite,'kwaɪt
rain,'reɪn
raise,'reɪz
reach,'ri:tʃ
ready,'redɪ
read,'red
real,'rɪəl
receive,rɪ'si:v
really,'rɪəlɪ
record,'rekɔ:d
remember,rɪ'membə
remind,rɪ'maɪnd
red,'red
rent,'rent
remove,rɪ'mu:v
repair,rɪ'peə
reply,rɪ'plaɪ
report,rɪ'pɔ:t
repeat,rɪ'pi:t
rest,'rest
restaurant,'restərɒŋ
result,rɪ'zʌlt
rice,'raɪs
return,rɪ'tɜ:n
rich,'rɪtʃ
ride,'raɪd
right,'raɪt
road,'rəʊd
ring,'rɪŋ
rise,'raɪz
rock,'rɒk
rob,rɒb
round,'raʊnd
room,'ru:m
rubber,'rʌbə
rude,'ru:d
rule,'ru:l
ruler,'ru:lə
rush,'rʌʃ
run,'rʌn
sad,'sæd
safe,'seɪf
salt,sɒlt
sail,'seɪl
same,'seɪm
sand,'sænd
save,'seɪv
say,'seɪ
school,'sku:l
science,'saɪəns
search,'sɜ:tʃ
seat,'si:t
second,'sekənd
see,'si:
seem,'si:m
send,'send
sentence,'sentəns
sell,'sel
seven,'sevən
serve,'sɜ:v
several,'sevrəl
shadow,'ʃædəʊ
sex,'seks
shade,'ʃeɪd
shake,'ʃeɪk
shape,'ʃeɪp
share,'ʃeə
sharp,'ʃɑ:p
she,'ʃi:
sheet,'ʃi:t
shelf,'ʃelf
sheep,'ʃi:p
shine,'ʃaɪn
ship,'ʃɪp
shirt,'ʃɜ:t
shoe,'ʃu:
shoot,'ʃu:t
shop,'ʃɒp
short,'ʃɔ:t
should,'ʃʊd
shoulder,'ʃəʊldə
show,'ʃəʊ
sick,'sɪk
shout,'ʃaʊt
side,'saɪd
signal,'sɪgnəl
silence,'saɪləns
silver,'sɪlvə
similar,'sɪmələ
simple,'sɪmpəl
silly,'sɪlɪ
single,'sɪŋgəl
since,'sɪns
sing,'sɪŋ
sink,'sɪŋk
sister,'sɪstə
sit,'sɪt
six,'sɪks
size,'saɪz
skill,'skɪl
skin,'skɪn
skirt,'skɜ:t
sky,'skaɪ
sleep,'sli:p
slip,'slɪp
slow,'sləʊ
small,'smɔ:l
smoke,'sməʊk
smell,'smel
smile,'smaɪl
soap,'səʊp
snow,'snəʊ
so,'səʊ
some,'sʌm
soft,'sɒft
someone,'sʌmwʌn
something,'sʌmθɪŋ
sometimes,'sʌmtaɪmz
son,'sʌn
soon,'su:n
sorry,'sɒrɪ
sound,'saʊnd
south,'saʊθ
soup,'su:p
space,'speɪs
speak,'spi:k
special,'speʃəl
speed,'spi:d
spell,'spel
spend,'spend
spoon,'spu:n
sport,'spɔ:t
spread,'spred
spring,'sprɪŋ
stamp,'stæmp
square,'skweə
stand,'stænd
star,'stɑ:
start,'stɑ:t
station,'steɪʃən
stay,'steɪ
steal,'sti:l
steam,'sti:m
step,'step
still,'stɪl
stomach,'stʌmək
stone,stəʊn
stop,'stɒp
storm,'stɔ:m
store,'stɔ:
strange,'streɪndʒ
story,'stɔ:rɪ
street,stri:t
student,'stju:dənt
strong,'strɒŋ
structure,'strʌktʃə
study,'stʌdɪ
stupid,'stju:pɪd
substance,'sʌbstəns
subject,'sʌbdʒɪkt
successful,sək'sesfʊl
such,'sʌtʃ
sudden,'sʌdən
sugar,'ʃʊgə
suitable,'su:təbəl
sun,'sʌndeɪ
summer,'sʌmə
sunny,'sʌnɪ
support,sə'pɔ:t
sure,'ʃɔ:
surprise,sə'praɪz
sweet,'swi:t
swim,'swɪm
sword,'sɔ:d
table,'teɪbəl
take,'teɪk
talk,'tɔ:k
tall,'tɔ:l
taste,'teɪst
taxi,'tæksɪ
teach,'ti:tʃ
tea,'ti:
team,'ti:m
telephone,'telɪfəʊn
tear,'tɪə
television,'telɪˌvɪʒən
ten,'ten
tell,'tel
tennis,'tenɪs
terrible,'terəbəl
test,'test
than,'ðæn
that,'ðæt
the,'ðə
their,'ðeə
then,'ðen
there,'ðeə
therefore,'ðeəfɔ:
these,'ði:z
thick,'θɪk
thin,'θɪn
thing,'θɪŋ
think,'θɪŋk
third,'θɜ:d
this,'ðɪs
threat,'θret
though,'ðəʊ
three,'θri:
tidy,'taɪdɪ
tie,'taɪ
to,'tu:
title,'taɪtəl
today,tə'deɪ
toe,'təʊ
together,tə'geðə
tomorrow,tə'mɒrəʊ
tonight,tə'naɪt
too,'tu:
tool,'tu:l
tooth,'tu:θ
top,'tɒp
total,'təʊtəl
touch,'tʌtʃ
town,'taʊn
train,'treɪn
travel,'trævəl
tree,'tri:
trouble,'trʌbəl
trust,'trʌst
true,'tru:
turn,'tɜ:n
twice,'twaɪs
try,'traɪ
type,'taɪp
under,'ʌndə
understand,ˌʌndə'stænd
uncle,'ʌŋkəl
unit,'ju:nɪt
until,ən'tɪl
usually,'ju:ʒəlɪ
up,'ʌp
use,'ju:z
useful,'ju:sfəl
usual,'ju:ʒəl
vegetable,'vedʒɪtəbl
voice,'vɔɪs
village,'vɪlɪdʒ
wait,'weɪt
very,'verɪ
visit,'vɪzɪt
wake,'weɪk
want,'wɒnt
walk,'wɔ:k
warm,'wɔ:m
waste,'weɪst
watch,'wɒtʃ
wash,'wɒʃ
way,'weɪ
water,'wɔ:tə
we,'wi:
weak,'wi:k
wear,wɪə
weather,'weðə
week,'wi:k
wedding,'wedɪŋ
weight,'weɪt
welcome,'welkəm
well,'wel
west,'west
wet,'wet
what,'wɒt
wheel,'wi:l
when,'wen
which,'wɪtʃ
where,'weə
while,'waɪl
who,'hu:
white,'waɪt
why,'waɪ
wide,'waɪd
wife,'waɪf
wild,'waɪld
will,'wɪl
win,'wɪn
wind,'wɪnd
window,'wɪndəʊ
wine,'waɪn
winter,'wɪntə
wire,'waɪə
wise,'waɪz
wish,'wɪʃ
with,'wɪð
without,wɪð'aʊt
woman,'wʊmən
word,'wɜ:d
wonder,'wʌndə
work,'wɜ:k
world,'wɜ:ld
worry,'wʌrɪ
worst,'wɜ:st
wrong,'rɒŋ
write,'raɪt
year,'jɪə
yes,'jes
yesterday,'jestədeɪ
you,'ju:
young,'jʌŋ
your,'jɔ:
yet,'jet
zero,'zɪərəʊ
zoo,'zu:
help,'help
smoke,'sməʊk
